2025/02/12 06:40:25: Training starting...
2025/02/12 06:44:46: Episode 11800) Epsilon: 0.55, Reward: -4.500, Best Reward: 6.10, Mean Reward -3.72
2025/02/12 06:44:49: Episode 11900) Epsilon: 0.55, Reward: -4.500, Best Reward: 6.10, Mean Reward -3.73
2025/02/12 06:44:52: Episode 12000) Epsilon: 0.55, Reward: -7.500, Best Reward: 6.10, Mean Reward -3.28
2025/02/12 06:44:55: Episode 12100) Epsilon: 0.55, Reward: -5.700, Best Reward: 6.10, Mean Reward -3.01
2025/02/12 06:44:57: Episode 12200) Epsilon: 0.54, Reward: -3.300, Best Reward: 6.10, Mean Reward -3.40
2025/02/12 06:45:00: Episode 12300) Epsilon: 0.54, Reward: -4.500, Best Reward: 6.10, Mean Reward -3.11
2025/02/12 06:45:02: Episode 12400) Epsilon: 0.54, Reward: -5.700, Best Reward: 6.10, Mean Reward -3.30
2025/02/12 06:45:05: Episode 12500) Epsilon: 0.54, Reward: -4.500, Best Reward: 6.10, Mean Reward -3.23
2025/02/12 06:45:08: Episode 12600) Epsilon: 0.53, Reward: -5.100, Best Reward: 6.10, Mean Reward -3.58
2025/02/12 06:45:10: Episode 12700) Epsilon: 0.53, Reward: 2.100, Best Reward: 6.10, Mean Reward -2.78
2025/02/12 06:45:13: Episode 12800) Epsilon: 0.53, Reward: -5.100, Best Reward: 6.10, Mean Reward -3.01
2025/02/12 06:45:16: Episode 12900) Epsilon: 0.52, Reward: -6.900, Best Reward: 6.10, Mean Reward -3.50
2025/02/12 06:45:19: Episode 13000) Epsilon: 0.52, Reward: -5.700, Best Reward: 6.10, Mean Reward -3.38
2025/02/12 06:45:22: Episode 13100) Epsilon: 0.52, Reward: 0.300, Best Reward: 6.10, Mean Reward -3.05
2025/02/12 06:45:24: Episode 13200) Epsilon: 0.52, Reward: -6.900, Best Reward: 6.10, Mean Reward -3.13
2025/02/12 06:45:27: Episode 13300) Epsilon: 0.51, Reward: 0.300, Best Reward: 6.10, Mean Reward -2.83
2025/02/12 06:45:29: Episode 13400) Epsilon: 0.51, Reward: -8.100, Best Reward: 6.10, Mean Reward -2.41
2025/02/12 06:45:32: Episode 13500) Epsilon: 0.51, Reward: 1.500, Best Reward: 6.10, Mean Reward -2.98
2025/02/12 06:45:34: Episode 13600) Epsilon: 0.51, Reward: -7.500, Best Reward: 6.10, Mean Reward -3.34
2025/02/12 06:45:37: Episode 13700) Epsilon: 0.50, Reward: -5.100, Best Reward: 6.10, Mean Reward -2.85
2025/02/12 06:45:40: Episode 13800) Epsilon: 0.50, Reward: -5.700, Best Reward: 6.10, Mean Reward -2.74
2025/02/12 06:45:43: Episode 13900) Epsilon: 0.50, Reward: -5.700, Best Reward: 6.10, Mean Reward -2.56
2025/02/12 06:45:45: Episode 14000) Epsilon: 0.50, Reward: -1.500, Best Reward: 6.10, Mean Reward -3.18
2025/02/12 06:45:48: Episode 14100) Epsilon: 0.49, Reward: 3.900, Best Reward: 6.10, Mean Reward -2.71
2025/02/12 06:45:51: Episode 14200) Epsilon: 0.49, Reward: 3.900, Best Reward: 6.10, Mean Reward -2.38
2025/02/12 06:45:54: Episode 14300) Epsilon: 0.49, Reward: -0.900, Best Reward: 6.10, Mean Reward -2.96
2025/02/12 06:45:56: Episode 14400) Epsilon: 0.49, Reward: -4.500, Best Reward: 6.10, Mean Reward -2.01
2025/02/12 06:45:59: Episode 14500) Epsilon: 0.48, Reward: -3.900, Best Reward: 6.10, Mean Reward -3.07
2025/02/12 06:46:02: Episode 14600) Epsilon: 0.48, Reward: -4.500, Best Reward: 6.10, Mean Reward -2.27
2025/02/12 06:46:05: Episode 14700) Epsilon: 0.48, Reward: 0.300, Best Reward: 6.10, Mean Reward -2.05
2025/02/12 06:46:07: Episode 14800) Epsilon: 0.48, Reward: -0.300, Best Reward: 6.10, Mean Reward -2.03
2025/02/12 06:46:10: Episode 14900) Epsilon: 0.47, Reward: -1.500, Best Reward: 6.10, Mean Reward -2.31
2025/02/12 06:46:13: Episode 15000) Epsilon: 0.47, Reward: -5.100, Best Reward: 6.10, Mean Reward -2.50
2025/02/12 06:46:16: Episode 15100) Epsilon: 0.47, Reward: -4.500, Best Reward: 6.10, Mean Reward -2.43
2025/02/12 06:46:19: Episode 15200) Epsilon: 0.47, Reward: 0.300, Best Reward: 6.10, Mean Reward -1.91
2025/02/12 06:46:21: Episode 15300) Epsilon: 0.47, Reward: 2.100, Best Reward: 6.10, Mean Reward -2.25
2025/02/12 06:46:24: Episode 15400) Epsilon: 0.46, Reward: -3.900, Best Reward: 6.10, Mean Reward -2.57
2025/02/12 06:46:27: Episode 15500) Epsilon: 0.46, Reward: -2.700, Best Reward: 6.10, Mean Reward -2.06
2025/02/12 06:46:30: Episode 15600) Epsilon: 0.46, Reward: 3.900, Best Reward: 6.10, Mean Reward -1.12
2025/02/12 06:46:32: Episode 15700) Epsilon: 0.46, Reward: -5.700, Best Reward: 6.10, Mean Reward -1.77
2025/02/12 06:46:35: Episode 15800) Epsilon: 0.45, Reward: -3.300, Best Reward: 6.10, Mean Reward -1.91
2025/02/12 06:46:38: Episode 15900) Epsilon: 0.45, Reward: -6.300, Best Reward: 6.10, Mean Reward -2.09
2025/02/12 06:46:41: Episode 16000) Epsilon: 0.45, Reward: 3.900, Best Reward: 6.10, Mean Reward -1.76
2025/02/12 06:46:44: Episode 16100) Epsilon: 0.45, Reward: -5.100, Best Reward: 6.10, Mean Reward -0.76
2025/02/12 06:46:47: Episode 16200) Epsilon: 0.44, Reward: 3.900, Best Reward: 6.10, Mean Reward -1.36
2025/02/12 06:46:50: Episode 16300) Epsilon: 0.44, Reward: -2.100, Best Reward: 6.10, Mean Reward -1.48
2025/02/12 06:46:53: Episode 16400) Epsilon: 0.44, Reward: -5.100, Best Reward: 6.10, Mean Reward -0.85
2025/02/12 06:46:56: Episode 16500) Epsilon: 0.44, Reward: 3.900, Best Reward: 6.10, Mean Reward -1.52
2025/02/12 06:46:58: Episode 16600) Epsilon: 0.44, Reward: 3.900, Best Reward: 6.10, Mean Reward -1.13
2025/02/12 06:47:01: Episode 16700) Epsilon: 0.43, Reward: -5.700, Best Reward: 6.10, Mean Reward -1.22
2025/02/12 06:47:04: Episode 16800) Epsilon: 0.43, Reward: 0.300, Best Reward: 6.10, Mean Reward -0.79
2025/02/12 06:47:07: Episode 16900) Epsilon: 0.43, Reward: -5.100, Best Reward: 6.10, Mean Reward -1.33
2025/02/12 06:47:10: Episode 17000) Epsilon: 0.43, Reward: -4.500, Best Reward: 6.10, Mean Reward -1.50
2025/02/12 06:47:13: Episode 17100) Epsilon: 0.43, Reward: 0.300, Best Reward: 6.10, Mean Reward -0.81
2025/02/12 06:47:16: Episode 17200) Epsilon: 0.42, Reward: 2.100, Best Reward: 6.10, Mean Reward -1.44
2025/02/12 06:47:18: Episode 17300) Epsilon: 0.42, Reward: 3.900, Best Reward: 6.10, Mean Reward -1.57
2025/02/12 06:47:21: Episode 17400) Epsilon: 0.42, Reward: 3.900, Best Reward: 6.10, Mean Reward -1.18
2025/02/12 06:47:22: Episode 17438) New Best Reward 6.30 (+3.3%), saving model...
2025/02/12 06:47:24: Episode 17500) Epsilon: 0.42, Reward: -3.300, Best Reward: 6.30, Mean Reward -0.89
2025/02/12 06:47:27: Episode 17595) New Best Reward 6.40 (+1.6%), saving model...
2025/02/12 06:47:27: Episode 17600) Epsilon: 0.41, Reward: 0.300, Best Reward: 6.40, Mean Reward -0.29
2025/02/12 06:47:29: Episode 17700) Epsilon: 0.41, Reward: -5.700, Best Reward: 6.40, Mean Reward -0.55
2025/02/12 06:47:32: Episode 17800) Epsilon: 0.41, Reward: -6.300, Best Reward: 6.40, Mean Reward -0.48
2025/02/12 06:47:35: Episode 17900) Epsilon: 0.41, Reward: 3.900, Best Reward: 6.40, Mean Reward -1.14
2025/02/12 06:47:36: Episode 17950) New Best Reward 6.70 (+4.7%), saving model...
2025/02/12 06:47:38: Episode 18000) Epsilon: 0.41, Reward: 3.900, Best Reward: 6.70, Mean Reward 0.06
2025/02/12 06:47:42: Episode 18100) Epsilon: 0.40, Reward: 3.300, Best Reward: 6.70, Mean Reward -0.73
2025/02/12 06:47:45: Episode 18200) Epsilon: 0.40, Reward: -2.700, Best Reward: 6.70, Mean Reward -0.41
2025/02/12 06:47:47: Episode 18300) Epsilon: 0.40, Reward: -3.300, Best Reward: 6.70, Mean Reward -0.41
2025/02/12 06:47:50: Episode 18400) Epsilon: 0.40, Reward: 3.900, Best Reward: 6.70, Mean Reward -0.70
2025/02/12 06:47:53: Episode 18500) Epsilon: 0.40, Reward: -4.500, Best Reward: 6.70, Mean Reward -0.05
2025/02/12 06:47:56: Episode 18600) Epsilon: 0.39, Reward: -3.900, Best Reward: 6.70, Mean Reward -0.90
2025/02/12 06:47:59: Episode 18700) Epsilon: 0.39, Reward: -2.100, Best Reward: 6.70, Mean Reward -0.15
2025/02/12 06:48:02: Episode 18800) Epsilon: 0.39, Reward: 3.900, Best Reward: 6.70, Mean Reward -0.18
2025/02/12 06:48:05: Episode 18900) Epsilon: 0.39, Reward: 3.900, Best Reward: 6.70, Mean Reward -0.28
2025/02/12 06:48:08: Episode 19000) Epsilon: 0.39, Reward: -6.900, Best Reward: 6.70, Mean Reward -0.15
2025/02/12 06:48:11: Episode 19100) Epsilon: 0.38, Reward: 3.900, Best Reward: 6.70, Mean Reward -0.44
2025/02/12 06:48:14: Episode 19200) Epsilon: 0.38, Reward: 3.900, Best Reward: 6.70, Mean Reward -0.46
2025/02/12 06:48:17: Episode 19300) Epsilon: 0.38, Reward: -3.300, Best Reward: 6.70, Mean Reward 0.47
2025/02/12 06:48:20: Episode 19400) Epsilon: 0.38, Reward: 4.200, Best Reward: 6.70, Mean Reward -0.05
2025/02/12 06:48:22: Episode 19481) New Best Reward 8.40 (+25.4%), saving model...
2025/02/12 06:48:23: Episode 19500) Epsilon: 0.38, Reward: 3.300, Best Reward: 8.40, Mean Reward 0.87
2025/02/12 06:48:23: Episode 19509) New Best Reward 8.60 (+2.4%), saving model...
2025/02/12 06:48:26: Episode 19600) Epsilon: 0.38, Reward: 3.300, Best Reward: 8.60, Mean Reward -0.47
2025/02/12 06:48:29: Episode 19700) Epsilon: 0.37, Reward: 3.900, Best Reward: 8.60, Mean Reward 0.32
2025/02/12 06:48:31: Episode 19800) Epsilon: 0.37, Reward: -2.100, Best Reward: 8.60, Mean Reward -0.16
2025/02/12 06:48:34: Episode 19900) Epsilon: 0.37, Reward: -2.100, Best Reward: 8.60, Mean Reward 0.12
2025/02/12 06:48:38: Episode 20000) Epsilon: 0.37, Reward: 2.700, Best Reward: 8.60, Mean Reward -0.01
2025/02/12 06:48:41: Episode 20100) Epsilon: 0.37, Reward: 3.900, Best Reward: 8.60, Mean Reward -0.11
2025/02/12 06:48:44: Episode 20200) Epsilon: 0.36, Reward: -5.100, Best Reward: 8.60, Mean Reward 0.02
2025/02/12 06:48:47: Episode 20300) Epsilon: 0.36, Reward: -5.100, Best Reward: 8.60, Mean Reward 0.21
2025/02/12 06:48:49: Episode 20400) Epsilon: 0.36, Reward: 1.500, Best Reward: 8.60, Mean Reward 0.84
2025/02/12 06:48:52: Episode 20500) Epsilon: 0.36, Reward: -3.300, Best Reward: 8.60, Mean Reward 0.61
2025/02/12 06:48:56: Episode 20600) Epsilon: 0.36, Reward: -4.500, Best Reward: 8.60, Mean Reward 0.21
2025/02/12 06:48:59: Episode 20700) Epsilon: 0.36, Reward: -2.700, Best Reward: 8.60, Mean Reward -0.19
2025/02/12 06:49:01: Episode 20800) Epsilon: 0.35, Reward: 3.900, Best Reward: 8.60, Mean Reward 0.53
2025/02/12 06:49:04: Episode 20900) Epsilon: 0.35, Reward: 3.900, Best Reward: 8.60, Mean Reward 0.83
